"","depth","mclust_results","hclust_3PCs-5Clusters"
"509",6.325,2,1
"510",6.333,2,1
"511",6.35,2,1
"512",6.358,2,1
"513",6.375,2,1
"514",6.383,2,1
"515",6.4,2,1
"516",6.408,2,1
"517",6.425,2,1
"518",6.433,2,1
"519",6.45,2,1
"520",6.458,2,1
"521",6.475,2,1
"522",6.483,2,1
"523",6.5,2,2
"524",6.508,2,1
"525",6.525,2,1
"526",6.533,2,1
"527",6.55,2,1
"528",6.558,2,1
"529",6.575,2,1
"530",6.583,2,1
"531",6.6,2,1
"532",6.608,2,1
"533",6.625,2,1
"534",6.633,2,1
"535",6.65,2,1
"536",6.658,2,1
"537",6.675,2,2
"538",6.683,2,2
"539",6.7,2,1
"540",6.708,2,2
"541",6.725,2,2
"542",6.733,2,2
"543",6.75,2,2
"544",6.758,2,2
"545",6.775,2,2
"546",6.783,2,2
"547",6.8,2,2
"548",6.808,2,1
"549",6.825,2,1
"550",6.833,2,1
"551",6.85,2,1
"552",6.858,2,2
"553",6.875,2,2
"554",6.883,2,2
"555",6.9,2,2
"556",6.908,2,2
"557",6.925,2,2
"558",6.933,2,2
"559",6.95,2,1
"560",6.958,2,1
"561",6.975,2,1
"562",6.983,2,1
"563",7,1,1
"564",7.008,2,1
"565",7.025,2,1
"566",7.033,2,1
"567",7.05,1,1
"568",7.058,1,1
"569",7.075,2,2
"570",7.083,2,2
"571",7.1,1,2
"572",7.108,1,1
"573",7.125,1,1
"574",7.133,1,1
"575",7.15,2,1
"576",7.158,2,1
"577",7.175,2,1
"578",7.183,2,1
"579",7.188,2,1
"580",7.188,2,1
"581",7.213,2,1
"582",7.238,2,1
"583",7.238,2,1
"584",7.256,2,1
"585",7.281,2,1
"586",7.285,2,1
"587",7.306,2,1
"588",7.331,2,1
"589",7.335,2,1
"590",7.356,2,1
"591",7.381,2,1
"592",7.385,2,1
"593",7.406,2,1
"594",7.431,2,1
"595",7.435,2,1
"596",7.456,1,2
"597",7.481,2,1
"598",7.485,2,1
"599",7.506,2,1
"600",7.531,2,1
"601",7.535,2,1
"602",7.556,1,1
"603",7.581,1,2
"604",7.585,1,2
"605",7.606,2,1
"606",7.631,2,1
"607",7.635,2,1
