CCFS_A,CCFS_B,Mud_Diamict,Diamict_only,Al,Ca,Zr,K,Rb,Si,b_star,NGR,MS,Mud_Diamict_code,Diamict_only_code
0,0,mud,NA,5.6501,2.8775,38.816,1.1922,50.211,25.744,2.8,0.022,75.6,1,1
0.001,0,mud,NA,5.6501,2.8775,38.816,1.1922,50.211,25.744,2.8,0.022,75.6,1,1
0.025,0.02,mud,NA,6.8661,3.7885,58.751,1.6266,70.453,30.962,2.1,0.02,49.6,1,1
0.026,0.02,mud,NA,6.8661,3.7885,58.751,1.6266,70.453,30.962,2.1,0.02,49.6,1,1
0.05,0.04,mud,NA,7.5115,3.8856,59.583,1.7136,69.329,33.74,2.8,0.02,41.8,1,1
0.051,0.04,mud,NA,7.5115,3.8856,59.583,1.7136,69.329,33.74,2.8,0.02,41.8,1,1
0.075,0.06,mud,NA,10.048,3.5499,50.183,1.6675,57.598,39.568,2.5,0.02,41.1,1,1
0.076,0.06,mud,NA,10.048,3.5499,50.183,1.6675,57.598,39.568,2.5,0.02,41.1,1,1
0.1,0.09,mud,NA,10.297,3.5529,48.862,1.6414,57.484,40.091,2.3,0.02,40.7,1,1
0.101,0.09,mud,NA,10.297,3.5529,48.862,1.6414,57.484,40.091,2.3,0.02,40.7,1,1
0.125,0.11,mud,NA,7.7288,3.6841,58.67,1.621,71.514,33.917,2.8,0.02,41.4,1,1
0.126,0.11,mud,NA,7.7288,3.6841,58.67,1.621,71.514,33.917,2.8,0.02,41.4,1,1
0.15,0.13,mud,NA,9.1855,3.8377,53.67,1.6324,63.754,38.095,1.6,0.02,42,1,1
0.151,0.13,mud,NA,9.1855,3.8377,53.67,1.6324,63.754,38.095,1.6,0.02,42,1,1
0.175,0.15,mud,NA,9.6761,3.7437,52.573,1.6531,61.679,38.434,1.3,0.02,42.8,1,1
0.176,0.15,mud,NA,9.6761,3.7437,52.573,1.6531,61.679,38.434,1.3,0.02,42.8,1,1
0.2,0.17,mud,NA,9.5506,3.8227,52.708,1.6473,60.325,38.834,1.8,0.02,42.8,1,1
0.201,0.17,mud,NA,9.5506,3.8227,52.708,1.6473,60.325,38.834,1.8,0.02,42.8,1,1
0.225,0.19,mud,NA,10.326,3.6651,47.8,1.6412,57.984,40.439,2.5,0.02,43,1,1
0.226,0.19,mud,NA,10.326,3.6651,47.8,1.6412,57.984,40.439,2.5,0.02,43,1,1
0.25,0.21,mud,NA,9.7716,3.759,50.132,1.5961,60.895,39.582,2.2,0.02,43.1,1,1
0.251,0.21,mud,NA,9.7716,3.759,50.132,1.5961,60.895,39.582,2.2,0.02,43.1,1,1
0.275,0.24,mud,NA,10.196,3.7405,47.056,1.6123,55.929,41.377,2.8,0.02,43.7,1,1
0.276,0.24,mud,NA,10.196,3.7405,47.056,1.6123,55.929,41.377,2.8,0.02,43.7,1,1
0.3,0.26,mud,NA,10.417,3.7624,48.81,1.6205,55.851,41.081,2.5,0.02,44.1,1,1
0.301,0.26,mud,NA,10.417,3.7624,48.81,1.6205,55.851,41.081,2.5,0.02,44.1,1,1
0.325,0.28,mud,NA,9.9983,3.7992,50.316,1.5832,57.474,39.547,3.4,0.02,45.9,1,1
